ID,Name,Parent,Mass (kg),Radius (m),Semi-Major Axis,Eccentricity,Inclination,Longitude of Ascending Node,Arg of Peri,True anomaly,Epoch (JD)
0,Sun,-1,1.99E+30,696300000,0,0,0,0,0,0,2457000.5
1,Mercury,0,3.30E+23,2439700,57910000000,0.20563069,7,48.33167,29.12,180.3345,2457000.5
2,Venus,0,4.87E+24,6051800,1.08E+11,0.00677323,3.39,76.68069,54.85,151.524,2457000.5
3,Earth,0,5.97E+24,6378100,1.50E+11,0.0167,0,348.73936,114.21,332.8465,2457000.5
4,Mars,0,6.42E+23,3396200,2.28E+11,0.09341233,1.85,49.57854,286.46,357.865,2457000.5
5,Jupiter,0,1.90E+27,71492000,7.79E+11,0.04839266,1.304,100.55615,274.2,117.2536,2457000.5
6,Saturn,0,5.68E+26,60268000,1.43E+12,0.0541506,2.485,113.71504,338.72,142.988,2457000.5
7,Uranus,0,8.68E+25,25559000,2.87E+12,0.04716771,0.772,74.22988,96.73,204.8425,2457000.5
8,Neptune,0,1.02E+26,24341000,4.50E+12,0.00858587,1.769,131.72169,273.25,272.9421,2457000.5
9,Pluto,0,1.31E+22,1195000,5.91E+12,0.24880766,17.16,110.30347,113.76,58.2297,2457000.5
10,Moon,3,7.34E+22,1738100,384400000,0.0549,5.145,125.08,318.15,5.509065499,2451545
11,Phobos,4,1.06E+16,11200,9378000,0.0151,1.08,164.931,150.25,91.93902472,2433282.5
12,Deimos,4,2.40E+15,6100,23459000,0.0005,1.79,339.6,290.5,34.68780029,2433282.5
13,Io,5,8.93E+22,1821600,421600000,0.004,0.04,43.977,84.13,18.05389194,2450464.5
14,Europa,5,4.80E+22,1560800,670900000,0.0101,0.47,219.106,88.97,171.1159205,2450464.5
15,Ganymede,5,1.48E+23,2631200,1070400000,0.0015,0.21,63.552,192.42,42.51955226,2450464.5
16,Callisto,5,1.08E+23,2410300,1882700000,0.007,0.51,298.848,52.64,178.608772,2450464.5
17,Metis,5,1.00E+17,20000,128000000,0.0002,0.06,146.912,297.18,83.96459552,2450464.5
18,Adrastea,5,2.00E+16,13000,129000000,0.0015,0.03,228.378,328.05,135.7345196,2450464.5
19,Amalthea,5,7.50E+18,131000,181100000,0.003,0.4,108.946,155.87,174.8245285,2450464.5
20,Thebe,5,8.00E+17,55000,221900000,0.018,0.8,235.694,234.27,136.6861941,2450464.5
21,Leda,5,6.00E+15,5000,11170000000,0.164,27.47,217.137,272.35,136.7059362,2451544.5
22,Himalia,5,9.50E+18,85000,11460000000,0.162,26.63,57.245,331,75.90408057,2451544.5
23,Lysithea,5,8.00E+16,12000,11720000000,0.112,27.35,5.528,49.49,32.98276528,2451544.5
24,Elara,5,8.00E+16,40000,11740000000,0.217,24.77,109.373,143.59,36.02020583,2451544.5
25,Mimas,6,3.79E+19,208000,185520000,0.0202,1.53,153.152,14.35,15.16813604,2451545
26,Enceladus,6,1.08E+20,257000,238020000,0.0045,0,93.204,211.92,160.4051521,2451545
27,Tethys,6,6.18E+20,538000,294660000,0,1.86,330.882,262.85,116.633,2451545
28,Dione,6,1.10E+21,563000,377400000,0.0022,0.02,168.909,168.82,37.84747283,2451545
29,Rhea,6,2.31E+21,765000,527040000,0.001,0.35,311.531,256.61,179.7822179,2451545
30,Titan,6,1.35E+23,2575000,1221830000,0.0292,0.33,24.502,185.67,163.8123484,2451545
31,Hyperion,6,5.60E+18,180000,1481100000,0.1042,0.43,264.022,324.18,92.43515526,2451545
32,Iapetus,6,1.81E+21,746000,3561300000,0.0283,14.72,75.831,275.92,158.8327438,2451545
33,Pan,6,5.00E+15,17000,133583000,0,0,40.557,139.32,8.813,2451545
34,Daphnis,6,1.00E+14,4300,136500000,0,0,0,0,113.79,2451545
35,Atlas,6,7.00E+15,20000,137670000,0,0.3,0.5,0,76.718,2451545
36,Prometheus,6,1.60E+17,68000,139353000,0.0024,0,259.504,164.39,97.02489776,2451545
37,Pandora,6,1.40E+17,52000,141700000,0.0042,0,327.215,83.46,125.3128055,2451545
38,Epimetheus,6,5.30E+17,65000,151422000,0.009,0.34,85.244,312.63,80.89480903,2451545
39,Janus,6,1.90E+18,102000,151472000,0.007,0.14,46.899,241.78,17.46899803,2451545
40,Calypso,6,4.00E+15,15000,294660000,0.001,1.473,25.327,234.79,156.6836885,2451545
41,Telesto,6,7.00E+15,16000,294660000,0.001,1.158,300.256,341.8,99.90044739,2451545
